	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
THEME	International Theme	My Kitchen Rules (International Theme)	Jay Stewart		Red Music Publishing			THEME	
SERIES 1	MKR Active 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Modern Funk - Short synth leads over medium funk pace		Shopping	
SERIES 1	MKR Active 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium groove with hyperactive GTR notes over latin Bass		Shopping	
SERIES 1	MKR Active 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern funk - Stabs and synth wind down FX		Shopping	
SERIES 1	MKR Active 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern funk - Stabs and string swells highlights		Shopping	
SERIES 1	MKR Active 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium groove with long smooth Pads		Shopping / Cooking	
SERIES 1	MKR Active 6	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Medium groove with edgy funk GTR 		Shopping	
SERIES 1	MKR Active 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Up Funky Clav with stabs - Percussion highlights		Shopping	
SERIES 1	MKR Active 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium Dirty Bass and drums with high synth lead		Shopping	
SERIES 1	MKR Active 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium piano riff with repeated GTR tension note		Shopping	
SERIES 1	MKR Active 10	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium R & B groove with phased key riffs		Shopping	
SERIES 1	MKR Active 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium groove with smooth GTR riffs and swells		Shopping	
SERIES 1	MKR Active 12	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast frantic groove with organ comping - quirky		Shopping	
SERIES 1	MKR Active 13	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast frantic groove with GTR comping - Sax lines - 		Shopping	
SERIES 1	MKR Active 14	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium power funk - stabs and retro synth leads		Shopping	
SERIES 1	MKR Active 15	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	medium subdued groove with choppy synths		Shopping	
SERIES 1	MKR Active 16	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Modern medium - groove synth Bass and quirky synth stabs		Shopping	
SERIES 1	MKR Active 17	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium fast - Straight groove with distorted GTR riffs		Shopping/Cooking	
SERIES 1	MKR Active 18	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern groove - "lounge style"		Shopping	
SERIES 1	MKR Active 19	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern tech groove - retro synths		Shopping	
SERIES 1	MKR Active 20	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Active 21	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Active 22	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Anticipate 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast light percussion with subdued string punctuations		Taste Food	
SERIES 1	MKR Anticipate  5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Ticking perc with Acoustic Bass riff - light tension keys		Taste Food	
SERIES 1	MKR Anticipate Drone	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low ominus drone with slow morphing tones		Tension	
SERIES 1	MKR Anticipate Tension	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Busy percussion with long tension pads		Taste Food	
SERIES 1	MKR Anticipate Tension 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Busy percussion with hyperactive vibes & E. Piano		Taste Food	
SERIES 1	MKR Anticipate Tension 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast light synth riff with pads		Cooking	
SERIES 1	MKR Anticipate to Build	My Kitchen Rules Background (Series 1)	Jay Stewart		N/A				
SERIES 1	MKR Anticipate to Tension	My Kitchen Rules Background (Series 1)	Jay Stewart		N/A				
SERIES 1	MKR Build to Celebrate 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	U2 style GTR build into full groove		Success/ Reward	
SERIES 1	MKR Build to Celebrate 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	U2 style GTR build into full groove - build throughout		Success/ Reward	
SERIES 1	MKR Build to Celebrate 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	U2 style 		Success/ Reward	
SERIES 1	MKR Build to Celebrate 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano riff to build		Success/ Reward	
