SESSION NAME:	MKR S15 TX01.r
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:58:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	90
# OF AUDIO CLIPS:	22766
# OF AUDIO FILES:	8169


T R A C K  L I S T I N G
TRACK NAME:	MUSIC 1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	JVKE - Golden Hour (Instrumental - BVs).mp3.new.01_01-11.A2	   01:00:00:05	   01:00:19:22	   00:00:19:17	Unmuted
1       	2       	JVKE - Golden Hour (Instrumental - BVs).mp3.new.01_01-10.A1	   01:00:41:21	   01:00:51:03	   00:00:09:07	Unmuted
1       	3       	JVKE - Golden Hour (Instrumental - BVs).mp3.new.02_01-03.A1	   01:00:51:15	   01:00:56:12	   00:00:04:22	Unmuted
1       	4       	UPM_WAX38_79_Show_You_What_I_Got_Instrumental_Brown_Gasparian_Olmos_1972671 (1).wav.new.01_01-05.A1	   01:00:58:09	   01:01:01:04	   00:00:02:20	Unmuted
1       	5       	UPM_WAX38_79_Show_You_What_I_Got_Instrumental_Brown_Gasparian_Olmos_1972671 (1).wav.new.02_01-07.A1	   01:01:11:20	   01:01:14:19	   00:00:02:24	Unmuted
1       	6       	UPM_WAX38_79_Show_You_What_I_Got_Instrumental_Brown_Gasparian_Olmos_1972671 (1).wav.new.02_01-06.A1	   01:01:14:19	   01:01:16:22	   00:00:02:03	Unmuted
1       	7       	UPM_KT195_46_Hit_Sink_Main_Track_Hirschmann_Hope_Mobley_Novack_Poe_Stephen_Stern_328951.wav.Copy.01.new.01_01-03.A1	   01:01:23:19	   01:01:26:00	   00:00:02:06	Unmuted
1       	8       	UPM_SVN87_4_Requiem_Dies_Irae_Remixed_Vocal_Lead_Burrows_Hill_Mallender_Verdi_2059436.wav.new.01_01-04.A2	   01:01:36:02	   01:01:55:08	   00:00:19:06	Unmuted
1       	9       	UPM_EVO295_5_Reload_Backing_Vocals_Only_Collisson_Westlake_1085736.wav.new.01_01-08.A1	   01:02:11:20	   01:02:35:03	   00:00:23:08	Unmuted
1       	10      	UPM_EVO295_5_Reload_Backing_Vocals_Only_Collisson_Westlake_1085736.wav.new.02_01-09.A1	   01:02:35:03	   01:02:45:10	   00:00:10:07	Unmuted
1       	11      	Amy Shark - Beautiful Eyes .wav.new.01_01-03.A1	   01:03:53:10	   01:04:19:10	   00:00:26:00	Unmuted
1       	12      	Kylie Minogue - Things We Do For Love - Extended Mix.wav.new.01_01-07.A1	   01:04:33:24	   01:05:04:23	   00:00:30:24	Unmuted
1       	13      	XCD448_04_2 TAKIN HOLD_INSTRUMENTAL.WAV.new.03_01-05.A1	   01:05:18:12	   01:05:23:02	   00:00:04:15	Unmuted
1       	14      	Sheppard - Good Time.wav.Copy.01.new.01_01-03.A1	   01:05:24:18	   01:05:38:19	   00:00:14:01	Unmuted
1       	15      	KPM2263_01_3 STUCK ON YOU (D)_UNDERSCORE.WAV.new.01_01-06.A1	   01:05:39:10	   01:05:43:01	   00:00:03:16	Unmuted
1       	16      	KPM2263_01_3 STUCK ON YOU (D)_UNDERSCORE.WAV.new.01_01-05.A1	   01:05:43:01	   01:05:56:08	   00:00:13:07	Unmuted
1       	17      	KPM2263_01_3 STUCK ON YOU (D)_UNDERSCORE.WAV.new.02_01-03.A1	   01:05:56:08	   01:05:57:21	   00:00:01:13	Unmuted
1       	18      	31 - Counting Down - J Vincent - HML277.wav.new.01_01-03.A1	   01:05:58:03	   01:06:10:04	   00:00:12:01	Unmuted
1       	19      	MKRS12_NEUTRAL COOK_BAKED_1112_RC_LITE.wav.wav.new.01_01-03.A1	   01:06:44:03	   01:07:03:10	   00:00:19:07	Unmuted
1       	20      	TRL0107_05 CALYPSO (A).wav.new.01_01-03.A1	   01:07:25:18	   01:07:34:14	   00:00:08:21	Unmuted
1       	21      	01 - Lemme Show Ya - J Vincent - HML257.wav.new.01_01-03.A1	   01:07:36:08	   01:07:48:08	   00:00:12:00	Unmuted
1       	22      	01 - Tour De Funk - S Ruchelman, S Grace - 1VU019.wav.new.01_01-05.A1	   01:08:13:20	   01:08:23:17	   00:00:09:22	Unmuted
1       	23      	01 - Tour De Funk - S Ruchelman, S Grace - 1VU019.wav.new.01_01-04.A1	   01:08:23:17	   01:08:25:20	   00:00:02:03	Unmuted
1       	24      	01 - Tour De Funk - S Ruchelman, S Grace - 1VU019.wav.new.02_01-03.A1	   01:08:27:24	   01:08:32:00	   00:00:04:01	Unmuted
1       	25      	32 - A New Chapter - C Swift, L Davies - BKM013.wav.new.01_01-03.A1	   01:08:41:11	   01:08:45:03	   00:00:03:17	Unmuted
1       	26      	32 - A New Chapter - C Swift, L Davies - BKM013.wav.new.02_01-05.A1	   01:09:04:02	   01:09:07:24	   00:00:03:22	Unmuted
1       	27      	MKR11_POS COOKING_TEAM WORK_617_CT_FULL.wav.new.04-02.A1	   01:09:20:06	   01:09:23:04	   00:00:02:23	Muted
1       	28      	07 - Boom Boom (Instrumental) - H Briasco - BLM165.wav.new.01_01-05.A1	   01:09:24:02	   01:09:40:21	   00:00:16:19	Unmuted
1       	29      	07 - Boom Boom (Instrumental) - H Briasco - BLM165.wav.new.01_01-04.A1	   01:09:40:21	   01:09:42:02	   00:00:01:06	Unmuted
1       	30      	MKR11_COOK_A_BREEZE_811_MS_FULL.wav.new.03-04.A1	   01:09:44:04	   01:09:52:05	   00:00:08:01	Unmuted
1       	31      	MKR11_COOK_A_BREEZE_811_MS_FULL.wav.new.03-03.A1	   01:09:52:05	   01:10:08:08	   00:00:16:03	Unmuted
1       	32      	29 - Think Carefully - A Yefymov - LVM166.wav.new.01_01-03.A1	   01:10:11:24	   01:10:28:17	   00:00:16:18	Unmuted
1       	33      	12 - Summer Destiny - P Carr - BAM-BX101 (1).wav.new.01_01-03.A1	   01:12:43:19	   01:13:05:04	   00:00:21:10	Unmuted
1       	34      	12 - Summer Destiny - P Carr - BAM-BX101 (1).wav.new.02_01-03.A1	   01:13:05:04	   01:13:20:05	   00:00:15:01	Unmuted
1       	35      	MDE003_10_2 ROLLIN FT WIN CANT LOSE_INSTRUMENTAL.WAV.new.03_01-03.A1	   01:13:20:05	   01:13:21:18	   00:00:01:13	Unmuted
1       	36      	02 - Ascending Waves - T Hewson - CRB081.wav.new.01-03.A1	   01:13:57:13	   01:14:23:00	   00:00:25:12	Unmuted
1       	37      	64 - Clear Waters - J Hood - HML312.wav.new.01_01-03.A1	   01:14:30:09	   01:14:49:08	   00:00:18:24	Unmuted
1       	38      	64 - Clear Waters - J Hood - HML312.wav.new.03_01-04.A1	   01:14:59:12	   01:15:03:03	   00:00:03:16	Unmuted
1       	39      	ATN510_01_11 LIVE LOUDER_NO LEAD VOCALS.WAV.new.01_01-03.A1	   01:15:21:16	   01:15:40:03	   00:00:18:12	Unmuted
1       	40      	10 - Changing Route - M Kouppa - MSU009.wav.new.01_01-03.A1	   01:15:57:01	   01:16:07:14	   00:00:10:13	Unmuted
1       	41      	Katy Perry - Teenage Dream.wav.new.01_01-04.A1	   01:16:21:24	   01:16:29:24	   00:00:08:00	Unmuted
1       	42      	01 - Feel Good - M Lena, F Prest - BAM-AS033.wav.new.01_01-03.A1	   01:16:42:04	   01:16:45:00	   00:00:02:21	Unmuted
1       	43      	07 - Mass Production - J Goldbridge - MNM087.wav.new.01_01-07.A1	   01:17:21:05	   01:17:46:21	   00:00:25:16	Unmuted
1       	44      	01 - Ultimate Rival - P Nickalls - CRB112.wav.new.02_01-08.A1	   01:18:02:06	   01:18:31:04	   00:00:28:23	Unmuted
1       	45      	01 - Ultimate Rival - P Nickalls - CRB112.wav.new.02_01-07.A1	   01:18:31:19	   01:18:35:08	   00:00:03:14	Unmuted
1       	46      	19 - Both Sides Scheme - S Azbel - BXMT029.wav.new.01_01-05.A1	   01:18:45:20	   01:18:53:12	   00:00:07:17	Unmuted
1       	47      	07 - Excited Nervousness - S Patterson - ALL125.wav.new.01_01-07.A1	   01:19:13:17	   01:19:15:22	   00:00:02:05	Unmuted
1       	48      	07 - Excited Nervousness - S Patterson - ALL125.wav.new.01_01-11.A1	   01:19:15:22	   01:19:30:06	   00:00:14:09	Unmuted
1       	49      	03 - Only This And Only Now (Instrumental) - S Burger, W Hunt - THH111.wav.new.01_01-06.A1	   01:19:31:22	   01:19:36:21	   00:00:04:24	Unmuted
1       	50      	03 - Only This And Only Now (Instrumental) - S Burger, W Hunt - THH111.wav.new.01_01-07.A1	   01:19:45:24	   01:19:54:04	   00:00:08:05	Unmuted
1       	51      	Imagine Dragons - Believer (Instrumental).wav.new.01_01-03.A1	   01:20:00:20	   01:20:25:14	   00:00:24:19	Unmuted
1       	52      	104 - Center Of The Show (Inst) - M Pahler - TRC075.wav.new.02_01-03.A1	   01:20:34:13	   01:20:42:13	   00:00:08:00	Unmuted
1       	53      	KPM2151_15 DECISION POINT (A).WAV.new.02_01-03.A1	   01:21:04:02	   01:21:07:09	   00:00:03:07	Unmuted
1       	54      	Dua Lipa - 01 - Don_t Start Now [200062283].wav.new.03_01-05.A1	   01:21:08:00	   01:21:11:16	   00:00:03:16	Unmuted
1       	55      	Dua Lipa - Dont-Start-Now-Instrumental.wav.new.01_01-03.A1	   01:21:11:16	   01:21:16:12	   00:00:04:21	Unmuted
1       	56      	Dua Lipa - Dont-Start-Now-Instrumental.wav.new.02_01-04.A1	   01:21:16:12	   01:21:28:03	   00:00:11:16	Unmuted
1       	57      	Dua Lipa - 01 - Don_t Start Now [200062283].wav.new.04_01-05.A1	   01:21:28:03	   01:21:30:20	   00:00:02:17	Unmuted
1       	58      	100 - Laugh Goodbye (Inst) - S Ruchelman, S Tipton Sims, S Grace - FA162.wav.new.02_01-06.A1	   01:21:49:12	   01:21:56:17	   00:00:07:05	Unmuted
1       	59      	100 - Laugh Goodbye (Inst) - S Ruchelman, S Tipton Sims, S Grace - FA162.wav.new.02_01-07.A1	   01:21:56:17	   01:22:03:22	   00:00:07:05	Unmuted
